familia,pagina_pdf,categoria,tier,cor,tratamento,notas,material_col1,grade_col1,preco_col1,status_col1,material_col2,grade_col2,preco_col2,status_col2,material_col3,grade_col3,preco_col3,status_col3,material_col4,grade_col4,preco_col4,status_col4,material_col5,grade_col5,preco_col5,status_col5,material_col6,grade_col6,preco_col6,status_col6
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,COLORIDAS,Hi-Vision Sun Pro,,1.74,-20.00 a +12.00*,4.639,,1.67,-15.00 a +10.00,3.889,,1.60 (EYAS 2.0),-13.00 a +8.00,2.999,,1.59,-13.00 a +9.00,2.539,,1.50,-10.00 a +10.00,2.189,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,INCOLOR,Hi-Vision Meiryo,,1.67 (EYNOA),-10.00 a +8.00,3.509,,1.60 (EYAS 2.0),-10.00 a +8.00,2.709,,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,2.249,,1.50,-10.00 a +8.00,1.899,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,INCOLOR,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-10.00 a +8.00,3.309,,1.60 (EYAS 2.0),-10.00 a +8.00,2.509,,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,2.049,,1.50,-10.00 a +8.00,1.699,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,INCOLOR,No-Risk BlueControl,,1.67 (EYNOA),-10.00 a +8.00,3.059,,1.60 (EYAS 2.0),-10.00 a +8.00,2.259,,1.59,-10.00 a +6.00,1.799,,1.53 (PNX),-10.00 a +8.00,1.799,,1.50,-10.00 a +8.00,1.449,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,INCOLOR,Hi-Vision Hard,,1.67 (EYNOA),-10.00 a +8.00,2.439,,1.60 (EYAS 2.0),-10.00 a +8.00,1.639,,1.59,-10.00 a +6.00,1.179,,1.53 (PNX),-10.00 a +8.00,1.179,,1.50,-10.00 a +8.00,829,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,SENSITY 2,Hi-Vision Meiryo,"EM BREVE cols 2,3 Sensity 2 | 3449=OCR corrigido",1.67 (EYNOA),-10.00 a +8.00,4.709,,1.60 (EYAS 2.0),-10.00 a +8.00,,EM_BREVE,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,3.449,,1.50,-10.00 a +8.00,3.099,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,SENSITY 2,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-10.00 a +8.00,4.509,,1.60 (EYAS 2.0),-10.00 a +8.00,,EM_BREVE,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,3.249,,1.50,-10.00 a +8.00,2.899,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,SENSITY 2,No-Risk BlueControl,,1.67 (EYNOA),-10.00 a +8.00,4.259,,1.60 (EYAS 2.0),-10.00 a +8.00,,EM_BREVE,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,2.999,,1.50,-10.00 a +8.00,2.649,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,SENSITY 2,Hi-Vision Hard,,1.67 (EYNOA),-10.00 a +8.00,3.639,,1.60 (EYAS 2.0),-10.00 a +8.00,,EM_BREVE,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,2.379,,1.50,-10.00 a +8.00,2.029,,,,,
NULUX TrueForm,13,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica TrueForm,COLORIDAS,Hi-Vision Sun Pro,,1.67 (EYNOA),-10.00 a +8.00,3.349,,1.60 (EYAS 2.0),-10.00 a +8.00,2.549,,1.59,-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-10.00 a +8.00,2.089,,1.50,-10.00 a +8.00,1.739,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,INCOLOR,Hi-Vision Meiryo,,1.59,-10.00 a +6.00,1.949,,1.53,-10.00 a +8.00,1.949,,1.50,-10.00 a +8.00,1.599,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,INCOLOR,Hi-Vision LongLife BlueControl,EM BREVE col1 (1.59),1.59,-10.00 a +6.00,,EM_BREVE,1.53,-10.00 a +8.00,1.749,,1.50,-10.00 a +8.00,1.399,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,INCOLOR,No-Risk BlueControl,,1.59,-10.00 a +6.00,1.499,,1.53,-10.00 a +8.00,1.499,,1.50,-10.00 a +8.00,1.149,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,INCOLOR,Hi-Vision Hard,,1.59,-10.00 a +6.00,849,,1.53,-10.00 a +8.00,849,,1.50,-10.00 a +8.00,499,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY 2,Hi-Vision Meiryo,Sem 1.67 com Sensity 2 - nota explícita PDF,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,2.949,,1.50,-10.00 a +8.00,2.599,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY 2,Hi-Vision LongLife BlueControl,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,2.749,,1.50,-10.00 a +8.00,2.399,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY 2,No-Risk BlueControl,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,2.499,,1.50,-10.00 a +8.00,2.149,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY 2,Hi-Vision Hard,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,1.849,,1.50,-10.00 a +8.00,1.499,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY ORIGINAL*,Hi-Vision LongLife BlueControl,*Enquanto durarem estoques,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,2.549,,1.50,-10.00 a +8.00,2.199,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY ORIGINAL*,No-Risk BlueControl,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,2.299,,1.50,-10.00 a +8.00,1.949,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,SENSITY ORIGINAL*,Hi-Vision Hard,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,1.649,,1.50,-10.00 a +8.00,1.299,,,,,,,,,,,,,
HILUX Esfericas Surfacadas,14,Lentes de Visao Simples Surfacadas,Surfacada Esferica Padrao,COLORIDAS,Hi-Vision Sun Pro,,1.59,-10.00 a +6.00,,,1.53,-10.00 a +8.00,1.789,,1.50,-10.00 a +8.00,1.439,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,Hi-Vision Meiryo,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,1.099,,1.50,-4.00 a +4.00,899,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,Hi-Vision LongLife BlueControl,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,999,,1.50,-4.00 a +4.00,799,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,Hi-Vision LongLife UVControl,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,999,,1.50,-4.00 a +4.00,799,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,Hi-Vision LongLife,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,,,1.50,-4.00 a +4.00,799,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,CleanExtra,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,,,1.50,-4.00 a +4.00,439,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,INCOLOR,Hi-Vision Aqua,,1.59 (POLI),-4.00 a +4.00,349,,1.53 (PNX),-4.00 a +2.00,349,,1.50,-4.00 a +4.00,219,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,SENSITY 2,Hi-Vision LongLife UVControl,,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,1.699,,1.50,-4.00 a +4.00,1.099,,,,,,,,,,,,,
HILUX Prontas Esfericas,17,Lentes de Visao Simples Prontas,Pronta Esferica,SENSITY ORIGINAL*,CleanExtra,*Enquanto durarem estoques,1.59 (POLI),-4.00 a +4.00,,,1.53 (PNX),-4.00 a +2.00,,,1.50,-4.00 a +4.00,599,,,,,,,,,,,,,
Pentax,19,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,Pentax Blue,,1.67,-6.00 a +6.00,899,,1.59,-4.00 a +4.00,559,,1.56,-4.00 a +4.00,399,,,,,,,,,,,,,
Pentax,19,Lentes de Visao Simples Prontas,Pronta Asferica,FOTOSSENSIVEL,Pentax Photo Grey,Disponivel apenas em 1.67,1.67,-6.00 a +6.00,1.019,,1.59,,,,1.56,,,,,,,,,,,,,,,
Hoyalux iD MySelf,22,Lentes Progressivas,iD Premium+,INCOLOR,Hi-Vision Meiryo,,1.74,-15.00 a +10.00,14.509,,1.67,-13.00 a +8.00,13.009,,1.60 (EYAS 2.0),-11.00 a +8.00,11.209,,1.59,-8.00 a +6.00,10.749,,1.50,-8.00 a +6.00,10.399,,,,,
Hoyalux iD MySelf,22,Lentes Progressivas,iD Premium+,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-15.00 a +10.00,14.309,,1.67,-13.00 a +8.00,12.809,,1.60 (EYAS 2.0),-11.00 a +8.00,11.009,,1.59,-8.00 a +6.00,10.549,,1.50,-8.00 a +6.00,10.199,,,,,
Hoyalux iD MySelf,22,Lentes Progressivas,iD Premium+,SENSITY 2,Hi-Vision Meiryo,1.74 incompatível com Sensity 2,1.74,,,,1.67,-13.00 a +8.00,14.409,,1.60 (EYAS 2.0),-11.00 a +8.00,12.609,,1.59,-8.00 a +6.00,12.149,,1.50,-8.00 a +6.00,11.799,,,,,
Hoyalux iD MySelf,22,Lentes Progressivas,iD Premium+,SENSITY 2,Hi-Vision LongLife BlueControl,,1.74,,,,1.67,-13.00 a +8.00,14.209,,1.60 (EYAS 2.0),-11.00 a +8.00,12.409,,1.59,-8.00 a +6.00,11.949,,1.50,-8.00 a +6.00,11.599,,,,,
Hoyalux iD MySelf,22,Lentes Progressivas,iD Premium+,COLORIDAS,Hi-Vision Sun Pro,,1.74,-15.00 a +10.00,14.599,,1.67,-13.00 a +8.00,13.099,,1.60 (EYAS 2.0),-11.00 a +8.00,11.299,,1.59,-8.00 a +6.00,10.839,,1.50,-8.00 a +6.00,10.489,,,,,
Hoyalux iD MyStyle V+,23,Lentes Progressivas,iD Premium+,INCOLOR,Hi-Vision Meiryo,,1.74,-15.00 a +10.00,14.099,,1.67,-13.00 a +8.00,12.599,,1.60 (EYAS 2.0),-11.00 a +8.00,10.799,,1.59,-8.00 a +6.00,10.339,,1.50,-8.00 a +6.00,9.989,,,,,
Hoyalux iD MyStyle V+,23,Lentes Progressivas,iD Premium+,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-15.00 a +10.00,13.899,,1.67,-13.00 a +8.00,12.399,,1.60 (EYAS 2.0),-11.00 a +8.00,10.599,,1.59,-8.00 a +6.00,10.139,,1.50,-8.00 a +6.00,9.789,,,,,
Hoyalux iD MyStyle V+,23,Lentes Progressivas,iD Premium+,SENSITY 2,Hi-Vision Meiryo,1.74 incompatível com Sensity 2,1.74,,,,1.67,-13.00 a +8.00,13.999,,1.60 (EYAS 2.0),-11.00 a +8.00,12.199,,1.59,-8.00 a +6.00,11.739,,1.50,-8.00 a +6.00,11.389,,,,,
Hoyalux iD MyStyle V+,23,Lentes Progressivas,iD Premium+,SENSITY 2,Hi-Vision LongLife BlueControl,,1.74,,,,1.67,-13.00 a +8.00,13.799,,1.60 (EYAS 2.0),-11.00 a +8.00,11.999,,1.59,-8.00 a +6.00,11.539,,1.50,-8.00 a +6.00,11.189,,,,,
Hoyalux iD MyStyle V+,23,Lentes Progressivas,iD Premium+,COLORIDAS,Hi-Vision Sun Pro,,1.74,-15.00 a +10.00,14.189,,1.67,-13.00 a +8.00,12.689,,1.60 (EYAS 2.0),-11.00 a +8.00,10.889,,1.59,-8.00 a +6.00,10.429,,1.50,-8.00 a +6.00,10.079,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,INCOLOR,Hi-Vision Meiryo,,1.74,-13.00 a +8.00,9.659,,1.67,-12.00 a +8.00,8.159,,1.60 (EYAS 2.0),-10.00 a +8.00,6.359,,1.59,-8.00 a +6.00,5.899,,1.50,-8.00 a +6.00,5.549,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-13.00 a +8.00,9.459,,1.67,-12.00 a +8.00,7.959,,1.60 (EYAS 2.0),-10.00 a +8.00,6.159,,1.59,-8.00 a +6.00,5.699,,1.50,-8.00 a +6.00,5.349,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,INCOLOR,No-Risk BlueControl,1.74 nao disponivel com No-Risk BC,1.74,-13.00 a +8.00,,,1.67,-12.00 a +8.00,7.709,,1.60 (EYAS 2.0),-10.00 a +8.00,5.909,,1.59,-8.00 a +6.00,5.449,,1.50,-8.00 a +6.00,5.099,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,SENSITY 2,Hi-Vision Meiryo,,1.74,,,,1.67,-12.00 a +8.00,9.559,,1.60 (EYAS 2.0),-10.00 a +8.00,7.759,,1.59,-8.00 a +6.00,7.299,,1.50,-8.00 a +6.00,6.949,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,SENSITY 2,Hi-Vision LongLife BlueControl,,1.74,,,,1.67,-12.00 a +8.00,9.359,,1.60 (EYAS 2.0),-10.00 a +8.00,7.559,,1.59,-8.00 a +6.00,7.099,,1.50,-8.00 a +6.00,6.749,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,SENSITY 2,No-Risk BlueControl,,1.74,,,,1.67,-12.00 a +8.00,9.109,,1.60 (EYAS 2.0),-10.00 a +8.00,7.309,,1.59,-8.00 a +6.00,6.849,,1.50,-8.00 a +6.00,6.499,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,POLARIZADO,Hi-Vision Sun Pro,,1.74,,,,1.67,-12.00 a +8.00,8.859,,1.60 (EYAS 2.0),-10.00 a +8.00,7.059,,1.59,-8.00 a +5.50,6.599,,1.50,-8.00 a +5.00,6.249,,,,,
Hoyalux iD LifeStyle 4i,24,Lentes Progressivas,iD Premium,COLORIDAS,Hi-Vision Sun Pro,,1.74,-13.00 a +8.00,9.749,,1.67,-12.00 a +8.00,7.999,,1.60 (EYAS 2.0),-10.00 a +8.00,6.199,,1.59,-8.00 a +6.00,5.739,,1.50,-8.00 a +6.00,5.389,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,INCOLOR,Hi-Vision Meiryo,,1.74,-13.00 a +8.00,9.509,,1.67,-12.00 a +8.00,8.009,,1.60 (EYAS 2.0),-10.00 a +8.00,6.209,,1.59,-8.00 a +6.00,5.749,,1.50,-8.00 a +6.00,5.399,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-13.00 a +8.00,9.309,,1.67,-12.00 a +8.00,7.809,,1.60 (EYAS 2.0),-10.00 a +8.00,6.009,,1.59,-8.00 a +6.00,5.549,,1.50,-8.00 a +6.00,5.199,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,INCOLOR,No-Risk BlueControl,,1.74,-13.00 a +8.00,,,1.67,-12.00 a +8.00,7.559,,1.60 (EYAS 2.0),-10.00 a +8.00,5.759,,1.59,-8.00 a +6.00,5.299,,1.50,-8.00 a +6.00,4.949,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,SENSITY 2,Hi-Vision Meiryo,,1.74,,,,1.67,-12.00 a +8.00,9.409,,1.60 (EYAS 2.0),-10.00 a +8.00,7.609,,1.59,-8.00 a +6.00,7.149,,1.50,-8.00 a +6.00,6.799,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,SENSITY 2,Hi-Vision LongLife BlueControl,,1.74,,,,1.67,-12.00 a +8.00,9.209,,1.60 (EYAS 2.0),-10.00 a +8.00,7.409,,1.59,-8.00 a +6.00,6.949,,1.50,-8.00 a +6.00,6.599,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,SENSITY 2,No-Risk BlueControl,,1.74,,,,1.67,-12.00 a +8.00,8.959,,1.60 (EYAS 2.0),-10.00 a +8.00,7.159,,1.59,-8.00 a +6.00,6.699,,1.50,-8.00 a +6.00,6.349,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,POLARIZADO,Hi-Vision Sun Pro,,1.74,,,,1.67,-12.00 a +8.00,8.709,,1.60 (EYAS 2.0),-10.00 a +8.00,6.909,,1.59,-8.00 a +5.50,6.449,,1.50,-8.00 a +5.00,6.099,,,,,
Hoyalux iD LifeStyle 4,25,Lentes Progressivas,iD Premium,COLORIDAS,Hi-Vision Sun Pro,,1.74,-13.00 a +8.00,9.599,,1.67,-12.00 a +8.00,7.849,,1.60 (EYAS 2.0),-10.00 a +8.00,6.049,,1.59,-8.00 a +6.00,5.589,,1.50,-8.00 a +6.00,5.239,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,INCOLOR,Hi-Vision Meiryo,EM BREVE na margem - verificar disponibilidade,1.67 (EYNOA),-12.00 a +8.00,7.159,,1.60 (EYAS 2.0),-10.00 a +8.00,5.359,,1.53 (PNX),-8.00 a +6.00,4.899,,1.50,-8.00 a +6.00,4.549,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,INCOLOR,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-12.00 a +8.00,6.959,,1.60 (EYAS 2.0),-10.00 a +8.00,5.159,,1.53 (PNX),-8.00 a +6.00,4.699,,1.50,-8.00 a +6.00,4.349,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,INCOLOR,No-Risk BlueControl,,1.67 (EYNOA),-12.00 a +8.00,6.709,,1.60 (EYAS 2.0),-10.00 a +8.00,4.909,,1.53 (PNX),-8.00 a +6.00,4.449,,1.50,-8.00 a +6.00,4.099,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,SENSITY 2,Hi-Vision Meiryo,col2 (1.60) EM BREVE para Sensity 2,1.67 (EYNOA),-12.00 a +8.00,8.559,,1.60 (EYAS 2.0),,,,1.53 (PNX),-8.00 a +6.00,6.299,,1.50,-8.00 a +6.00,5.949,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,SENSITY 2,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-12.00 a +8.00,8.359,,1.60 (EYAS 2.0),,,,1.53 (PNX),-8.00 a +6.00,6.099,,1.50,-8.00 a +6.00,5.749,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,SENSITY 2,No-Risk BlueControl,,1.67 (EYNOA),-12.00 a +8.00,8.109,,1.60 (EYAS 2.0),,,,1.53 (PNX),-8.00 a +6.00,5.849,,1.50,-8.00 a +6.00,5.499,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,POLARIZADO,Hi-Vision Sun Pro,col3 nao disponivel com Polarizado,1.67 (EYNOA),-12.00 a +8.00,7.859,,1.60 (EYAS 2.0),-10.00 a +8.00,6.059,,1.53 (PNX),,,,1.50,-8.00 a +3.00,5.249,,,,,,,,,
Hoyalux Balansis,26,Lentes Progressivas,Advanced,COLORIDAS,Hi-Vision Sun Pro,,1.67 (EYNOA),-12.00 a +8.00,6.999,,1.60 (EYAS 2.0),-10.00 a +8.00,5.199,,1.53 (PNX),-8.00 a +6.00,4.739,,1.50,-8.00 a +6.00,4.389,,,,,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,INCOLOR,Hi-Vision Meiryo,,1.67 (EYNOA),-13.00 a +7.50,5.999,,1.60 (EYAS 2.0),-13.00 a +6.50,4.199,,1.59 (POLI),-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,3.739,,1.50,-8.00 a +6.00,3.389,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,INCOLOR,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-13.00 a +7.50,5.799,,1.60 (EYAS 2.0),-13.00 a +6.50,3.999,,1.59 (POLI),-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,3.539,,1.50,-8.00 a +6.00,3.189,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,INCOLOR,No-Risk BlueControl,,1.67 (EYNOA),-13.00 a +7.50,5.549,,1.60 (EYAS 2.0),-13.00 a +6.50,3.749,,1.59 (POLI),-10.00 a +6.00,3.289,,1.53 (PNX),-8.00 a +6.00,3.289,,1.50,-8.00 a +6.00,2.939,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,INCOLOR,Hi-Vision Hard,,1.67 (EYNOA),-13.00 a +7.50,4.799,,1.60 (EYAS 2.0),-13.00 a +6.50,2.999,,1.59 (POLI),-10.00 a +6.00,2.539,,1.53 (PNX),-8.00 a +6.00,2.539,,1.50,-8.00 a +6.00,2.189,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,SENSITY 2,Hi-Vision Meiryo,,1.67 (EYNOA),-13.00 a +7.50,7.399,,1.60 (EYAS 2.0),,,EM_BREVE,1.59 (POLI),,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,5.139,,1.50,-8.00 a +6.00,4.789,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,SENSITY 2,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-13.00 a +7.50,7.199,,1.60 (EYAS 2.0),,,EM_BREVE,1.59 (POLI),,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,4.939,,1.50,-8.00 a +6.00,4.589,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,SENSITY 2,No-Risk BlueControl,,1.67 (EYNOA),-13.00 a +7.50,6.949,,1.60 (EYAS 2.0),,,EM_BREVE,1.59 (POLI),,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,4.689,,1.50,-8.00 a +6.00,4.339,,,,,
