fonte_tabela,laboratorio,pagina_pdf,bloco_visual,familia,produto,design,material,indice_refracao,tratamento,treatment_group,treatment_application,transitions,transitions_cores,blue_uv,esferico_min,esferico_max,cilindrico_max,adicao_min,adicao_max,preco_tipo,preco_par_brl,nota_disponibilidade
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1899.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1509.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1459.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-14.00,+10.00,-8.00,absoluto,2309.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,standard,,,não,-14.00,+10.00,-8.00,absoluto,2039.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,standard,,,não,-14.00,+10.00,-8.00,absoluto,1689.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,standard,,,não,-14.00,+10.00,-8.00,absoluto,1929.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,3099.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,3099.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,2829.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,2479.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,2719.00,,,,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C,sim,-20.00,+14.00,-8.00,absoluto,3809.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,,,não,-10.00,+7.50,-6.00,absoluto,567.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-10.00,+7.50,-6.00,absoluto,567.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,,,não,-10.00,+7.50,-6.00,absoluto,445.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,,,não,-10.00,+7.50,-6.00,absoluto,283.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,,,não,-10.00,+7.50,-6.00,absoluto,408.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,,,não,-10.00,+7.50,-6.00,absoluto,214.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,,,não,-10.00,+7.50,-6.00,absoluto,208.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Blue UV,Blue UV,standard,,,sim,-10.00,+6.50,-6.00,absoluto,606.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,874.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,874.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,752.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,590.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,715.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,521.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,Transitions Gen S,C,sim,-10.00,+8.25,-6.00,absoluto,515.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,905.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,905.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,783.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,621.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,746.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,552.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,absoluto,546.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,standard,,,não,-12.00,+9.25,-6.00,absoluto,661.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-12.00,+9.25,-6.00,absoluto,661.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,standard,,,não,-12.00,+9.25,-6.00,absoluto,539.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,standard,,,não,-12.00,+9.25,-6.00,absoluto,377.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,standard,,,não,-12.00,+9.25,-6.00,absoluto,502.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,standard,,,não,-12.00,+9.25,-6.00,absoluto,308.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,standard,,,não,-12.00,+9.25,-6.00,absoluto,302.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Blue UV,Blue UV,standard,,,sim,-12.00,+9.25,-6.00,absoluto,697.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,1166.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,1166.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,1044.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,882.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,1007.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,813.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,standard,Transitions Gen S,C,sim,-12.00,+9.25,-6.00,absoluto,807.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1205.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1205.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Rock,Crizal Rock,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1083.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,921.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Optifog,Optifog,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,1046.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Trio Easy Clean,Trio Easy Clean,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,852.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,No Reflex,No Reflex,standard,Transitions Extractive,C,sim,-12.00,+9.25,-6.00,absoluto,846.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,standard,,,não,-14.00,+10.00,-8.00,absoluto,984.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-14.00,+10.00,-8.00,absoluto,984.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,standard,,,não,-14.00,+10.00,-8.00,absoluto,862.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,standard,,,não,-14.00,+10.00,-8.00,absoluto,700.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,standard,,,não,-14.00,+10.00,-8.00,absoluto,825.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,1342.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,1342.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,1220.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,1058.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,standard,Transitions Gen S,C M V,sim,-14.00,+10.00,-8.00,absoluto,1183.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-20.00,+14.00,-8.00,absoluto,1325.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,C,sim,-20.00,+14.00,-8.00,absoluto,1644.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Marrom,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,521.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Verde,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,521.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Marrom,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,606.00,,,,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Verde,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,606.00,,,,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Sem AR,Sem AR,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,,traço - não disponível
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Sem AR,Sem AR,standard,,,não,-12.00,+9.25,-6.00,,,absoluto,,traço - não disponível
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Sem AR,Sem AR,standard,,,sim,-14.00,+10.00,-8.00,,,absoluto,,traço - não disponível
PVO,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Sem AR,Sem AR,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,,traço - não disponível
PVO,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Sem AR,Sem AR,standard,,,não,-12.00,+9.25,-6.00,,,absoluto,,traço - não disponível
PVO,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Sem AR,Sem AR,standard,,,sim,-14.00,+10.00,-8.00,,,absoluto,,traço - não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Crizal Rock,external,não,,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,external,não,,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Crizal Rock,external,sim,C/M/V,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,external,sim,C/M/V,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Crizal Rock,external,sim,C,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,external,sim,C,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
PVC,Essilor,4,digital,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Rock,Crizal Rock,external,não,,sim,-10.00,+6.00,-4.00,1.00,3.50,absoluto,,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
